transformation,n,n_enz,aiz_top10,rootaligned_top10,megan_top10,enz_top10,union_all_top10,routed_top10,best_chem_engine
oxidation,667,332,0.196,0.216,0.234,0.416,0.301,0.256,megan
reduction,427,174,0.429,0.475,0.459,0.672,0.518,0.461,rootaligned
amination,263,82,0.023,0.049,0.053,0.073,0.08,0.068,megan
C_C_coupling,241,35,0.112,0.1,0.095,0.086,0.137,0.112,aiz
acylation,240,102,0.121,0.046,0.05,0.627,0.325,0.292,aiz
racemization,222,2,0.009,0.036,0.095,1.0,0.113,0.104,megan
hydrolysis,200,75,0.125,0.11,0.175,0.333,0.28,0.165,megan
functional_group_interconversion,84,11,0.036,0.024,0.024,0.091,0.071,0.048,aiz
phosphorylation,73,33,0.0,0.0,0.014,0.03,0.027,0.027,megan
other,72,20,0.056,0.014,0.014,0.6,0.194,0.181,aiz
isomerization,67,6,0.015,0.015,0.06,0.333,0.09,0.09,megan
glycosylation,59,2,0.0,0.051,0.0,0.0,0.051,0.051,rootaligned
esterification,26,3,0.192,0.346,0.346,1.0,0.385,0.346,rootaligned
epoxide_hydrolysis,22,14,0.0,0.0,0.0,0.0,0.0,0.0,aiz
dehalogenation,20,12,0.2,0.1,0.1,0.333,0.3,0.2,aiz
amidation,10,0,0.1,0.1,0.1,,0.1,0.1,aiz
