policy,n,top1,top5,top10,top50
AiZ-USPTO (all),3028,0.0826,0.1291,0.1522,0.1668
AiZ-USPTO (enzymatic),2258,0.0797,0.1302,0.159,0.1736
AiZ-USPTO (chemical),770,0.0909,0.126,0.1325,0.1468
EnzExpand-A (979 enz),979,0.2901,0.4096,0.4229,0.4484
"RootAligned (USPTO-50K, template-free) (all)",3028,0.0779,0.144,0.1602,0.1991
"RootAligned (USPTO-50K, template-free) (enzymatic)",3028,0.0779,0.144,0.1602,0.1991
"RootAligned (USPTO-50K, template-free) (chemical)",0,,,,
"MEGAN (graph edits, USPTO-50K) (all)",3028,0.0997,0.1456,0.1704,0.2341
"MEGAN (graph edits, USPTO-50K) (enzymatic)",3028,0.0997,0.1456,0.1704,0.2341
"MEGAN (graph edits, USPTO-50K) (chemical)",0,,,,
UNION chem-engines (3 engs) over 2693,2693,0.1341,0.1831,0.2128,0.2863
UNION + EnzExpand over 2693,2693,0.1775,0.2313,0.2536,0.3253
ROUTED multi-engine over 2693,2693,0.1289,0.1961,0.2157,0.2818
